,original_title,Year of release,Movie Rating,Director,Gross collection
0,The Shawshank Redemption,1994,9.3,Frank Darabont,$28.34M
1,The Godfather,1972,9.2,Francis Ford Coppola,$134.97M
2,The Dark Knight,2008,9.0,Christopher Nolan,$534.86M
3,Schindler's List,1993,9.0,Steven Spielberg,$96.90M
4,The Lord of the Rings: The Return of the King,2003,9.0,Peter Jackson,$377.85M
5,12 Angry Men,1957,9.0,Sidney Lumet,$4.36M
6,The Godfather Part II,1974,9.0,Francis Ford Coppola,$57.30M
7,Pulp Fiction,1994,8.9,Quentin Tarantino,$107.93M
8,Inception,2010,8.8,Christopher Nolan,$292.58M
9,Fight Club,1999,8.8,David Fincher,$37.03M
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson,$315.54M
11,Forrest Gump,1994,8.8,Robert Zemeckis,$330.25M
12,"The Good, the Bad and the Ugly",1966,8.8,Sergio Leone,$6.10M
13,The Lord of the Rings: The Two Towers,2002,8.8,Peter Jackson,$342.55M
14,Jai Bhim,2021,8.8,T.J. Gnanavel,#237
15,777 Charlie,2022,8.8,Kiranraj K,*****
16,Rocketry: The Nambi Effect,2022,8.8,Madhavan,*****
17,The Matrix,1999,8.7,"Directors:Lana Wachowski, Lilly Wachowski",$171.48M
18,Goodfellas,1990,8.7,Martin Scorsese,$46.84M
19,One Flew Over the Cuckoo's Nest,1975,8.7,Milos Forman,$112.00M
20,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner,$290.48M
21,Soorarai Pottru,2020,8.7,Sudha Kongara,*****
22,Interstellar,2014,8.6,Christopher Nolan,$188.02M
23,The Silence of the Lambs,1991,8.6,Jonathan Demme,$130.74M
24,Se7en,1995,8.6,David Fincher,$100.13M
25,Star Wars,1977,8.6,George Lucas,$322.74M
26,The Green Mile,1999,8.6,Frank Darabont,$136.80M
27,Spirited Away,2001,8.6,Hayao Miyazaki,$10.06M
28,Saving Private Ryan,1998,8.6,Steven Spielberg,$216.54M
29,Terminator 2: Judgment Day,1991,8.6,James Cameron,$204.84M
30,City of God,2002,8.6,"Directors:Fernando Meirelles, Kátia Lund",$7.56M
31,Life Is Beautiful,1997,8.6,Roberto Benigni,$57.60M
32,Seven Samurai,1954,8.6,Akira Kurosawa,$0.27M
33,It's a Wonderful Life,1946,8.6,Frank Capra,#20
34,Harakiri,1962,8.6,Masaki Kobayashi,#45
35,Sita Ramam,2022,8.6,Hanu Raghavapudi,*****
36,Alien,1979,8.5,Ridley Scott,$78.90M
37,Whiplash,2014,8.5,Damien Chazelle,$13.09M
38,Gladiator,2000,8.5,Ridley Scott,$187.71M
39,Parasite,2019,8.5,Bong Joon Ho,$53.37M
40,Back to the Future,1985,8.5,Robert Zemeckis,$210.61M
41,The Departed,2006,8.5,Martin Scorsese,$132.38M
42,The Prestige,2006,8.5,Christopher Nolan,$53.09M
43,Léon: The Professional,1994,8.5,Luc Besson,$19.50M
44,The Lion King,1994,8.5,"Directors:Roger Allers, Rob Minkoff",$422.78M
45,Apocalypse Now,1979,8.5,Francis Ford Coppola,$83.47M
46,The Pianist,2002,8.5,Roman Polanski,$32.57M
47,Psycho,1960,8.5,Alfred Hitchcock,$32.00M
48,The Usual Suspects,1995,8.5,Bryan Singer,$23.34M
49,Casablanca,1942,8.5,Michael Curtiz,$1.02M
50,American History X,1998,8.5,Tony Kaye,$6.72M
51,The Intouchables,2011,8.5,"Directors:Olivier Nakache, Éric Toledano",$13.18M
52,Once Upon a Time in the West,1968,8.5,Sergio Leone,$5.32M
53,Grave of the Fireflies,1988,8.5,Isao Takahata,#44
54,Cinema Paradiso,1988,8.5,Giuseppe Tornatore,$11.99M
55,Rear Window,1954,8.5,Alfred Hitchcock,$36.76M
56,Modern Times,1936,8.5,Charles Chaplin,$0.16M
57,Kaithi,2019,8.5,Lokesh Kanagaraj,*****
58,City Lights,1931,8.5,Charles Chaplin,$0.02M
59,96,II 2018,8.5,C. Prem Kumar,*****
60,Avengers: Endgame,2019,8.4,"Directors:Anthony Russo, Joe Russo",$858.37M
61,Joker,I 2019,8.4,Todd Phillips,$335.45M
62,Spider-Man: Into the Spider-Verse,2018,8.4,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman",$190.24M
63,Raiders of the Lost Ark,1981,8.4,Steven Spielberg,$248.16M
64,Your Name.,2016,8.4,Makoto Shinkai,$5.02M
65,Aliens,1986,8.4,James Cameron,$85.16M
66,Avengers: Infinity War,2018,8.4,"Directors:Anthony Russo, Joe Russo",$678.82M
67,Django Unchained,2012,8.4,Quentin Tarantino,$162.81M
68,The Shining,1980,8.4,Stanley Kubrick,$44.02M
69,Oldboy,2003,8.4,Park Chan-wook,$0.71M
70,The Dark Knight Rises,2012,8.4,Christopher Nolan,$448.14M
71,Memento,2000,8.4,Christopher Nolan,$25.54M
72,Come and See,1985,8.4,Elem Klimov,#92
73,Braveheart,1995,8.4,Mel Gibson,$75.60M
74,Das Boot,1981,8.4,Wolfgang Petersen,$11.49M
75,WALL·E,2008,8.4,Andrew Stanton,$223.81M
76,Coco,I 2017,8.4,"Directors:Lee Unkrich, Adrian Molina",$209.73M
77,Amadeus,1984,8.4,Milos Forman,$51.97M
78,The Lives of Others,2006,8.4,Florian Henckel von Donnersmarck,$11.29M
79,Capernaum,2018,8.4,Nadine Labaki,$1.66M
80,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Stanley Kubrick,$0.28M
81,Sunset Blvd.,1950,8.4,Billy Wilder,#59
82,3 Idiots,2009,8.4,Rajkumar Hirani,$6.53M
83,Witness for the Prosecution,1957,8.4,Billy Wilder,$8.18M
84,Paths of Glory,1957,8.4,Stanley Kubrick,#60
85,The Great Dictator,1940,8.4,Charles Chaplin,$0.29M
86,High and Low,1963,8.4,Akira Kurosawa,#86
87,Sardar Udham,2021,8.4,Shoojit Sircar,*****
88,Asuran,2019,8.4,Vetrimaaran,*****
89,Drishyam 2,2021,8.4,Jeethu Joseph,*****
90,Top Gun: Maverick,2022,8.3,Joseph Kosinski,$718.73M
91,Good Will Hunting,1997,8.3,Gus Van Sant,$138.43M
92,Inglourious Basterds,2009,8.3,Quentin Tarantino,$120.54M
93,Requiem for a Dream,2000,8.3,Darren Aronofsky,$3.64M
94,Heat,1995,8.3,Michael Mann,$67.44M
95,Scarface,1983,8.3,Brian De Palma,$45.60M
96,Star Wars: Episode VI - Return of the Jedi,1983,8.3,Richard Marquand,$309.13M
97,American Beauty,1999,8.3,Sam Mendes,$130.10M
98,A Clockwork Orange,1971,8.3,Stanley Kubrick,$6.21M
99,Full Metal Jacket,1987,8.3,Stanley Kubrick,$46.36M
